nuisance_seed,well_id,site,pair_id,experiment,label,morphology_score,pooled_morphology_median,quarter_turns,dy,dx,used_by_analyzer
20260731,HUVEC-17_2_E02,1,pair_01,HUVEC-17,0,0.01519971628275969,0.018247664775210375,1,-2,-6,False
20260731,HUVEC-17_2_E02,2,pair_01,HUVEC-17,0,0.018220642440661336,0.018247664775210375,1,-5,-7,False
20260731,HUVEC-17_2_M17,1,pair_01,HUVEC-17,1,0.021321965458138987,0.018247664775210375,3,6,2,False
20260731,HUVEC-17_2_M17,2,pair_01,HUVEC-17,1,0.017090470959014687,0.018247664775210375,3,5,2,False
20260731,HUVEC-18_2_K15,1,pair_01,HUVEC-18,0,0.026494932134099574,0.018247664775210375,1,-8,-2,False
20260731,HUVEC-18_2_K15,2,pair_01,HUVEC-18,0,0.024377320970730004,0.018247664775210375,2,-6,-2,False
20260731,HUVEC-18_2_G06,1,pair_01,HUVEC-18,1,0.02739996569639938,0.018247664775210375,3,7,8,False
20260731,HUVEC-18_2_G06,2,pair_01,HUVEC-18,1,0.029498445054402925,0.018247664775210375,0,6,5,False
20260731,HUVEC-19_1_D21,1,pair_01,HUVEC-19,0,0.018274664302297107,0.018247664775210375,2,-2,-8,False
20260731,HUVEC-19_1_D21,2,pair_01,HUVEC-19,0,0.016314054494505566,0.018247664775210375,0,-5,-4,False
20260731,HUVEC-19_1_I06,1,pair_01,HUVEC-19,1,0.017566601354295476,0.018247664775210375,2,7,7,False
20260731,HUVEC-19_1_I06,2,pair_01,HUVEC-19,1,0.0169839408528152,0.018247664775210375,3,2,6,False
20260731,HUVEC-20_1_H13,1,pair_01,HUVEC-20,0,0.019342994449135252,0.018247664775210375,1,-2,-8,False
20260731,HUVEC-20_1_H13,2,pair_01,HUVEC-20,0,0.01854886467756023,0.018247664775210375,2,-5,-3,False
20260731,HUVEC-20_1_G17,1,pair_01,HUVEC-20,1,0.020969504045600162,0.018247664775210375,3,7,2,False
20260731,HUVEC-20_1_G17,2,pair_01,HUVEC-20,1,0.02185026274828722,0.018247664775210375,0,5,4,False
20260731,HUVEC-21_3_L06,1,pair_01,HUVEC-21,0,0.01612717439248446,0.018247664775210375,1,-4,-3,False
20260731,HUVEC-21_3_L06,2,pair_01,HUVEC-21,0,0.015838970769109752,0.018247664775210375,1,-2,-8,False
20260731,HUVEC-21_3_L17,1,pair_01,HUVEC-21,1,0.017312255162929648,0.018247664775210375,3,5,3,False
20260731,HUVEC-21_3_L17,2,pair_01,HUVEC-21,1,0.016201217365348762,0.018247664775210375,3,2,7,False
20260731,HUVEC-22_2_K23,1,pair_01,HUVEC-22,0,0.014580033612587999,0.018247664775210375,0,-8,-4,False
20260731,HUVEC-22_2_K23,2,pair_01,HUVEC-22,0,0.015016572824742495,0.018247664775210375,0,-3,-7,False
20260731,HUVEC-22_2_G09,1,pair_01,HUVEC-22,1,0.01719882645856986,0.018247664775210375,2,4,7,False
20260731,HUVEC-22_2_G09,2,pair_01,HUVEC-22,1,0.015378892282744444,0.018247664775210375,3,8,8,False
20260731,HUVEC-23_2_E12,1,pair_01,HUVEC-23,0,0.016611120682810704,0.018247664775210375,0,-6,-1,False
20260731,HUVEC-23_2_E12,2,pair_01,HUVEC-23,0,0.01730919724818704,0.018247664775210375,1,-7,-3,False
20260731,HUVEC-23_2_G10,1,pair_01,HUVEC-23,1,0.018983180083290044,0.018247664775210375,3,5,1,False
20260731,HUVEC-23_2_G10,2,pair_01,HUVEC-23,1,0.018090952113000196,0.018247664775210375,2,7,2,False
20260731,HUVEC-24_3_F17,1,pair_01,HUVEC-24,0,0.02048955122674557,0.018247664775210375,2,-3,-8,False
20260731,HUVEC-24_3_F17,2,pair_01,HUVEC-24,0,0.01965821389780379,0.018247664775210375,2,-8,-4,False
20260731,HUVEC-24_3_E15,1,pair_01,HUVEC-24,1,0.021317659332207035,0.018247664775210375,3,1,8,False
20260731,HUVEC-24_3_E15,2,pair_01,HUVEC-24,1,0.02031025387024822,0.018247664775210375,0,1,7,False
20260731,HUVEC-17_4_L22,1,pair_02,HUVEC-17,0,0.011795710999269203,0.018247664775210375,1,-7,-1,False
20260731,HUVEC-17_4_L22,2,pair_02,HUVEC-17,0,0.008982975864846636,0.018247664775210375,1,-2,-1,False
20260731,HUVEC-17_4_I20,1,pair_02,HUVEC-17,1,0.013027909947728702,0.018247664775210375,2,8,5,False
20260731,HUVEC-17_4_I20,2,pair_02,HUVEC-17,1,0.012536524030585791,0.018247664775210375,2,1,1,False
20260731,HUVEC-18_4_L18,1,pair_02,HUVEC-18,0,0.01624184458554164,0.018247664775210375,1,-3,-7,False
20260731,HUVEC-18_4_L18,2,pair_02,HUVEC-18,0,0.016750388490482597,0.018247664775210375,1,-2,-4,False
