replicate_seed,effect_size,method,statistic,p_value,permutations,bandwidth,rejected,replicate
7897793225540332417,0.0,quotient_exact,-0.06820763611160519,0.265625,256,7.551681964344484,False,0
7897793225540332417,0.0,raw_coordinates,0.47079155240438997,0.0078125,256,12.480575067607479,True,0
7897793225540332417,0.0,moment_registration,-0.1047935910866209,0.625,256,4.416317620612731,False,0
7897793225540332417,0.0,euler_secondary,-0.014086573841975425,0.6015625,256,2.0,False,0
4098426384189714118,0.0,quotient_exact,-0.016896360162317436,0.25,256,6.319406976671439,False,1
4098426384189714118,0.0,raw_coordinates,0.5568958671352404,0.0078125,256,11.271323004916814,True,1
4098426384189714118,0.0,moment_registration,-0.017353510768959524,0.1484375,256,3.083242235795106,False,1
4098426384189714118,0.0,euler_secondary,-0.02589644798506674,0.2265625,256,2.449489742783178,False,1
12526855529911904727,0.0,quotient_exact,-0.06825895961434059,0.1328125,256,6.802954892490728,False,2
12526855529911904727,0.0,raw_coordinates,0.5105128645588698,0.0078125,256,11.98452196907603,True,2
12526855529911904727,0.0,moment_registration,-0.09077498699579933,0.1171875,256,4.359124861934289,False,2
12526855529911904727,0.0,euler_secondary,-0.038432306622594226,0.421875,256,2.8284271247461903,False,2
10738722228500921773,0.0,quotient_exact,-0.06517197070379,0.4609375,256,6.52091766180178,False,3
10738722228500921773,0.0,raw_coordinates,0.6059524923596784,0.0078125,256,13.229862919133767,True,3
10738722228500921773,0.0,moment_registration,-0.09019099321974255,0.4921875,256,3.6304021995094993,False,3
10738722228500921773,0.0,euler_secondary,-0.018017585446288842,0.6171875,256,2.0,False,3
9386323186135536875,0.0,quotient_exact,-0.06592378477765848,0.8828125,256,6.118746339488757,False,4
9386323186135536875,0.0,raw_coordinates,0.555903037965287,0.0078125,256,12.630919881018448,True,4
9386323186135536875,0.0,moment_registration,-0.08126597950757253,0.9609375,256,3.200346100994092,False,4
9386323186135536875,0.0,euler_secondary,-0.019501894416115162,0.5234375,256,6.708203932499369,False,4
12883849635035841339,0.0,quotient_exact,-0.07948359303556518,0.8671875,256,6.986630220097536,False,5
12883849635035841339,0.0,raw_coordinates,0.4922774968990524,0.0078125,256,12.386776786873897,True,5
12883849635035841339,0.0,moment_registration,-0.08616835512523202,0.359375,256,3.8725828920612932,False,5
12883849635035841339,0.0,euler_secondary,-0.03299981583383871,0.5625,256,2.5495097567963922,False,5
13000837394472389864,0.0,quotient_exact,-0.052231103231383136,0.5546875,256,6.395459770472539,False,6
13000837394472389864,0.0,raw_coordinates,0.42127358841877016,0.0078125,256,11.808638760325,True,6
13000837394472389864,0.0,moment_registration,-0.08146705957052758,0.6328125,256,3.442034515988849,False,6
13000837394472389864,0.0,euler_secondary,-0.04148712322821435,0.796875,256,2.1213203435596424,False,6
